id;name;phone_number;email;telegram_chat_id;balance;promo_code
1;Officer Kuwait;Strategist integrated Small Frozen Fish;Dixie53@gmail.com;40312;83492;collaborative Auto Loan Account
2;Oregon generate;Grass-roots;Leola_Weber@yahoo.com;58783;12730;Knolls
3;6th generation SMTP incubate;Alaska Unbranded;Arnaldo27@yahoo.com;13064;28360;User-friendly
4;Congolese Franc invoice alliance;Lebanese Pound synergize;Orrin.Kiehn83@hotmail.com;2975;39233;Coordinator
5;Home Loan Account Berkshire;mission-critical Small Metal Towels;Krystel.McKenzie@yahoo.com;72453;35532;Lead Pitcairn Islands project
6;internet solution Bike;Administrator Baby;Xander.Effertz@yahoo.com;22288;98609;navigating
7;SSL Handmade Plastic Mouse International;Handcrafted Plastic Hat Automotive Euro;Minerva.Feil67@hotmail.com;75767;95367;cross-platform Hawaii SDD
8;Fords Chief;digital Ranch;Verna.Mohr81@gmail.com;94480;33934;Avon Associate Robust
9;Massachusetts red;invoice;Eusebio66@yahoo.com;2053;22405;Track Bedfordshire zero defect
10;Engineer;Dynamic;Brook.Heathcote@hotmail.com;69912;14623;open-source overriding Specialist
